"","beta","p","AIC","AUC"
"T_Inflamed",0.296487891305144,0.336953703566554,183.97387470644,0.575778388278388
"Curated_WNT",-0.332538373356876,0.18671534493215,183.146445651304,0.58470695970696
"Curated_gMDSC",-0.321225466847636,0.269440190067395,183.694885394876,0.523809523809524
"Curated_mMDSC",-0.278771753716916,0.329412491914934,183.974152719436,0.532738095238095
"Zilionis2019_hNeutro3",-0.465434055484117,0.132565503593714,182.547569443734,0.62202380952381
"Zilionis2019_hNeutro1",-0.384653817807294,0.211512745336964,183.323444076595,0.570054945054945
"Zilionis2019_hMac7",-0.474713710004266,0.146200177244525,182.756197660079,0.558836996336996
"Zilionis2019_hMono3",-0.338336381627766,0.269837886967298,183.675336310961,0.581959706959707
"Zilionis2019_hMono2",-0.550909098524325,0.134821111382027,182.553940221548,0.567307692307692
"Bagaev2021_M1_signature",-0.316722425470775,0.22508175711709,183.424613383345,0.548992673992674
"Bagaev2021_Checkpoint_molecules",-0.000491687274630783,0.998353453452773,184.935555723753,0.439789377289377
"Bagaev2021_Neutrophil_signature",-0.358786849631365,0.19871332831095,183.271086970843,0.567994505494506
"Bagaev2021_Myeloid_cells_traffic",-0.224038389645393,0.454386749033945,184.372676762689,0.544184981684982
"Bagaev2021_Macrophage_and_DC_traffic",-0.194350043290522,0.451614592308177,184.371755449066,0.457417582417582
"Bagaev2021_Matrix_remodeling",-0.356806954863356,0.169304375438383,183.010935577011,0.576236263736264
"ICB_Patil2022_B_Follicular",-0.180650404877665,0.48184771595144,184.441693521888,0.542582417582418
"ICB_Gao2018_IFNG",-0.145672676567179,0.640310932128691,184.718901703819,0.495879120879121
"Salcher2022_dendritic_cell",-0.0649160505280778,0.819075367137822,184.883592339848,0.488553113553114
"Salcher2022_natural_killer_cell",-0.0841442023439895,0.767004648085468,184.848266341208,0.456730769230769
"Salcher2022_neutrophil",-0.524536903748836,0.123557937310514,182.370168913135,0.560210622710623
"Salcher2022_classical_monocyte",-0.516187214063863,0.126754110869232,182.382629415065,0.560210622710623
"Salcher2022_non_classical_monocyte",-0.282928484415044,0.326474363359349,183.958258545595,0.546932234432235
"Danaher2017_Neutrophil",-0.437628265934051,0.0695003853430032,181.485805967966,0.593864468864469
"Danaher2017_T_cell",-0.178589283377796,0.433312568474389,184.323940071448,0.470238095238095
